Time,eeeee,vell
22.396,1457,139.2
22.464,1584,139.3
22.506,1473,139.2
22.573,1569,136.1
22.616,1456,139.2
22.665,1584,139.3
22.738,1472,139.2
22.772,1568,139.3
22.821,1488,139.3
22.856,1568,139.3
22.939,1489,139.3
22.972,1568,139.3
23.015,1488,139.3
23.078,1568,139.2
23.117,1505,139.3
23.163,1553,139.2
23.245,1489,139.3
23.294,1553,139.2
23.329,1520,139.3
23.376,1552,139.3
23.457,1521,140.8
23.503,1552,142.4
23.547,1520,139.2
23.585,1536,139.2
23.622,1537,139.3
23.669,1536,139.2
23.747,1536,139.2
23.786,1521,139.3
23.835,1553,140.8
23.872,1521,140.8
23.925,1537,139.3
24.009,1505,139.3
24.052,1553,139.2
24.106,1505,139.2
24.143,1569,139.3
24.175,1472,139.2
24.252,1584,139.3
24.301,1473,139.3
24.335,1585,139.3
24.379,1473,139.2
24.447,1569,139.2
24.493,1473,139.2
24.533,1553,139.2
24.579,1489,139.3
24.657,1552,139.3
24.71,1489,139.2
24.748,1552,140.8
24.788,1504,139.2
24.841,1553,139.3
24.922,1505,139.2
24.971,1536,139.3
25.014,1504,139.3
25.05,1537,139.3
25.108,1520,139.3
25.143,1521,137.7
25.221,1521,140.9
25.264,1521,139.2
25.299,1520,139.3
25.367,1536,139.3
25.416,1521,139.3
25.453,1553,139.3
25.501,1521,139.3
25.551,1552,140.9
25.62,1504,139.3
25.67,1553,139.3
25.707,1488,139.2
25.791,1569,139.2
25.841,1488,139.3
25.877,1569,139.3
25.911,1473,139.2
25.952,1568,139.2
26.025,1472,139.2
26.073,1568,139.3
26.121,1472,139.3
26.189,1569,139.2
26.235,1392,139.3
26.279,1441,139.2
26.314,1393,139.3
26.4,1440,139.3
26.434,1409,139.2
26.471,1441,139.3
26.518,1409,139.2
26.591,1425,139.2
26.626,1424,139.3
26.67,1424,139.3
26.756,1425,139.3
26.803,1424,139.3
26.843,1440,139.2
26.886,1409,139.2
26.923,1440,137.6
26.969,1408,139.3
27.043,1441,139.2
27.094,1408,139.2
27.141,1457,139.3
27.176,1393,139.2
27.246,1457,139.2
27.296,1393,139.2
27.332,1457,139.2
27.373,1376,139.3
27.448,1457,139.3
27.484,1361,139.3
27.529,1473,139.3
27.602,1361,139.2
27.649,1472,139.3
27.69,1360,139.3
27.769,1472,140.8
27.823,1360,139.2
27.859,1473,139.3
27.903,1361,139.3
27.939,1473,139.2
28.007,1361,139.3
28.064,1473,139.3
28.103,1360,139.3
28.145,1472,139.3
28.237,1425,139.2
28.276,1425,139.2
28.333,1424,139.3
28.375,1424,139.3
28.428,1440,139.2
28.475,1408,139.2
28.524,1505,139.3
28.571,1505,139.2
28.612,1552,139.2
28.657,1504,139.3
28.693,1552,139.2
28.749,1504,139.3
28.839,1489,139.2
28.876,1489,139.2
28.929,1569,139.3
28.972,1488,139.2
29.021,1568,139.2
29.06,1489,139.3
29.097,1569,139.3
29.146,1488,139.2
29.223,1569,139.2
29.264,1472,139.3
29.314,1569,139.2
29.349,1456,140.8
29.401,1569,139.3
29.48,1457,139.2
29.527,1568,139.3
29.579,1457,139.2
29.615,1584,139.2
29.693,1457,139.2
29.746,1584,139.2
29.783,1456,137.7
29.811,1568,139.2
29.861,1457,139.3
29.949,1568,139.3
29.986,1457,139.2
30.026,1584,139.3
30.077,1457,139.3
30.112,1584,139.3
30.203,1456,142.4
30.258,1536,139.2
30.295,1553,139.3
30.326,1393,139.3
30.376,1456,140.9
30.452,1393,140.8
30.507,1456,139.2
30.54,1376,139.2
30.576,1456,139.3
30.62,1377,139.2
30.689,1456,139.2
30.753,1376,139.2
30.835,1360,139.2
30.896,1473,139.2
30.94,1360,139.3
30.98,1361,139.2
31.026,1473,139.2
31.07,1473,139.2
31.106,1361,139.2
31.141,1489,139.2
31.18,1345,139.2
31.248,1472,139.3
31.284,1360,139.2
31.354,1473,139.3
31.394,1361,139.3
31.434,1472,139.2
31.518,1345,139.2
31.559,1456,139.3
31.603,1345,139.2
31.64,1472,140.9
31.709,1360,139.2
31.756,1457,139.2
31.802,1360,139.2
31.837,1456,139.2
31.91,1361,139.3
31.951,1456,139.3
31.988,1361,137.6
32.071,1457,139.2
32.145,1344,139.2
32.181,1457,139.3
32.257,1473,139.2
32.296,1377,139.3
32.333,1473,139.3
32.401,1376,139.3
32.442,1456,139.2
32.483,1361,139.3
32.569,1473,139.3
32.611,1360,137.6
32.652,1472,139.3
32.687,1361,139.3
32.787,1360,139.2
32.829,1360,139.2
32.86,1344,139.2
32.893,1473,139.3
32.962,1345,139.2
33.001,1456,139.3
33.04,1344,139.2
33.129,1440,139.3
33.164,1360,139.2
33.208,1472,139.3
33.246,1360,139.3
33.338,1456,139.3
33.369,1360,139.3
33.403,1489,139.2
33.499,1457,139.3
33.542,1360,139.2
33.582,1360,139.2
